Timestamp,Person ID,Missing PPE,Status
2026-08-18 11:27:15,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:27:20,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:27:25,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:27:30,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:27:35,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:27:40,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:27:45,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:27:50,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:27:55,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:28:00,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:28:05,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:28:11,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:28:16,Person-1,"Helmet, Gloves, Safety Vest, Safety Boots, Safety Goggles",NON-COMPLIANT
2026-08-18 11:29:51,Tracked Person,Missing Helmet,NON-COMPLIANT
2026-08-18 11:29:56,Tracked Person,Missing Helmet,NON-COMPLIANT
2026-08-18 11:30:06,Tracked Person,Missing Helmet,NON-COMPLIANT
2026-08-18 11:30:12,Tracked Person,Missing Helmet,NON-COMPLIANT
2026-08-18 11:30:17,Tracked Person,Missing Helmet,NON-COMPLIANT
2026-08-18 11:30:23,Tracked Person,Missing Helmet,NON-COMPLIANT
2026-08-18 11:30:28,Tracked Person,Missing Helmet,NON-COMPLIANT
2026-08-18 11:30:33,Tracked Person,Missing Helmet,NON-COMPLIANT
2026-08-18 11:30:39,Tracked Person,Missing Helmet,NON-COMPLIANT
2026-08-18 11:30:44,Tracked Person,Missing Helmet,NON-COMPLIANT
2026-08-18 11:30:49,Tracked Person,Missing Helmet,NON-COMPLIANT
2026-08-18 11:30:54,Tracked Person,Missing Helmet,NON-COMPLIANT
2026-08-18 11:38:18,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:38:23,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:38:28,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:38:34,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:38:39,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:38:44,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:38:49,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:38:54,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:39:00,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:39:00,Person-13,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:39:05,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:39:10,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:43:43,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:43:45,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:43:50,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:43:55,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:44:00,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:44:05,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:44:10,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:44:15,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:44:20,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:44:25,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:44:30,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:44:35,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:44:40,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:44:45,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:44:51,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:44:56,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:45:01,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:45:06,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:50:26,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:50:31,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:50:36,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:50:41,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:50:46,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:50:52,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:50:58,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:51:04,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:51:25,Person-5,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:51:26,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:51:31,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:51:37,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:54:53,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:54:58,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:55:04,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:55:09,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:55:14,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:55:19,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:55:25,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:55:31,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:55:36,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:55:41,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:55:47,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:55:52,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:55:57,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:56:02,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:56:07,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:56:12,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:56:17,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:56:22,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:56:28,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 11:56:34,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 12:00:09,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 12:00:14,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 18:06:05,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 18:06:10,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 18:06:15,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 18:06:18,Person-10,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 18:06:20,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 18:06:25,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 18:06:30,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 18:06:35,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
2026-08-18 18:06:40,Person-1,"Gloves, Helmet, Safety Boots, Safety Goggles, Safety Vest",NON-COMPLIANT
